Wardname,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
Hackney - Queensbridge,17.54206291,8.2,44.7,38.3,11.8
Hammersmith & Fulham - S&s End,17.9153605,8.4,30.6,39,11.8
Barking & Dagenham - River,26.85159755,10.1,38.4,30.9,9.6
Tower Hamlets - Bethnal Green North,18.55587225,7,49.4,38.7,15
Merton - Abbey,15.73186089,8.5,26.6,38.3,12.5
Richmond upon Thames - South Richmond,16.55268022,14,13.1,33,8.5
Lambeth - Larkhall,16.65603433,6.2,43.3,42.2,13
Greenwich - Plumstead,23.35683556,8.6,55.4,41.7,14.6
Hillingdon - Heathrow Villages,20.8213788,9.4,50,43.2,17.1
Lambeth - Streatham Hill,18.32012901,8.4,37.9,37.8,12.4
Havering - Gooshays,23.23713586,12.9,12.8,10.7,2.6
Croydon - Broad Green,25.76131246,7.1,68.6,46.2,16.9
Hillingdon - West Ruislip,17.85882575,16.8,18,18.4,3.9
Ealing - North Greenford,20.28818052,11.4,56.4,51.4,22.1
Lewisham - Lewisham Central,18.33084948,8.4,51.6,41.2,12.4
Hillingdon - Hillingdon East,23.11328064,11.9,34.4,23.3,6.4
Wandsworth - Southfields,18.50393701,7.7,24.4,34.8,9
Hounslow - Heston West,22.96993086,10.3,76.2,51.1,23.9
Sutton - Sutton West,18.07137434,13.9,23,25.1,7.8
Merton - Dundonald,16.4851752,9.8,18.1,35.6,7.3
Haringey - West Green,19.74274604,9.5,47.8,54.6,25.9
Hounslow - Heston Central,20.84147135,10.9,76.6,54.7,23.9
Barnet - Underhill,20.57178762,16.2,27.3,25.4,6.9
Sutton - Sutton Central,18.75739107,11.5,24.1,26.9,99.7
Bexley - Lesnes Abbey,20.92367354,15.6,31,23.3,5
Hammersmith & Fulham - Hammersmith Broadway,15.96074813,10.1,33.9,40.5,13.4
Southwark - Brunswick Park,19.65993624,7.1,53.3,40.6,10.7
Redbridge - Clementswood,26.63984727,7.4,84.2,55.6,25.1
Islington - Barnsbury,14.8840259,9.4,28.9,35.5,10.9
Croydon - Shirley,20.62814773,16.7,30.9,19.7,3.9
Wandsworth - Northcote,19.03614458,6,14.9,28.9,5.7
Greenwich - Woolwich Common,26.91010915,5.9,57.6,41.8,13.6
Croydon - Sanderstead,19.55858183,18.5,19.5,13.7,1.7
Croydon - West Thornton,25.05003145,9.5,76.5,46.5,15.1
Barking & Dagenham - Valence,25.6916996,12.1,31.5,23.3,7.1
Harrow - Harrow Weald,19.74331927,17.1,48.3,36.7,10.5
Lewisham - Lee Green,19.30968229,10.9,33.7,28.9,8.1
Kensington & Chelsea - Royal Hospital,12.85162714,20.1,15.4,44.8,16.7
Lambeth - Thornton,20.66102507,7.9,40.5,37,10.1
Harrow - Greenhill,16.82769726,10.4,58.5,52.7,20.7
Bexley - Sidcup,15.81519734,20,10.1,10.6,2.2
Lambeth - Herne Hill,18.36896803,7.2,39.6,35.3,10.8
Kensington & Chelsea - Brompton,14.05136328,13,24.4,61.7,26.8
Merton - Figge's Marsh,23.113879,9.3,57.4,44.9,16.3
Redbridge - Fairlop,20.84718923,13.1,34.9,25.1,8.2
Greenwich - Middle Park & Sutcliffe,21.93261755,14.2,24,22.3,5.6
Richmond upon Thames - East Sheen,22.90297642,13.9,9.3,23.6,5.5
Merton - Wimbledon Park,21.20210771,8.2,20.4,32.9,8.4
Barking & Dagenham - Parsloes,26.22217705,11.2,30.9,23.3,6.6
Kensington & Chelsea - Campden,15.59060895,12.5,21.4,52.8,18.3
Islington - Tollington,17.72218466,8,35.8,34.5,12.6
Richmond upon Thames - Hampton,19.33900851,15.8,11.3,16.7,4
Greenwich - Thamesmead Moorings,28.64673087,4.7,57.6,41.8,12.1
Enfield - Lower Edmonton,27.45145484,9.2,58.9,46.1,19.5
Brent - Preston,20.4278144,12.4,70,57.3,22.8
Wandsworth - Roehampton,18.45400446,10.5,34.5,38.6,15.5
Harrow - Edgware,20.28662147,11.4,65.3,56.5,24.8
Havering - Harold Wood,17.44664032,17.4,10.1,9.4,2.5
Hillingdon - Townfield,23.1958032,9.8,62.9,44.7,18.1
Hillingdon - Northwood,15.82768173,20.9,34.8,31.8,7
Kingston upon Thames - Alexandra,20.86307592,14.8,29.8,27.2,8.2
Bexley - Crayford,21.69071798,14.6,11.7,10,1.9
Sutton - Wandle Valley,24.06706793,9,24.8,19.8,5.7
Ealing - Dormers Wells,22.39396118,11.6,82.1,56,29.1
Newham - Canning Town South,21.08652163,7.1,54.5,47.5,19.9
Hackney - Dalston,16.45956407,6.2,44.5,40.8,14
Haringey - Seven Sisters,27.04158317,7.3,41.2,49.1,22.5
Newham - Green Street West,21.01502018,7.4,89.3,61.1,32.7
Bromley - Cray Valley West,23.62693065,14.9,13.9,10.9,2.5
Islington - Bunhill,13.45037229,7.9,34.5,41.9,16.6
Lambeth - Bishop's,11.45219638,8.7,42,43,13.7
Hillingdon - Brunel,15.5263348,11.1,38.2,29.3,9.8
Bexley - Longlands,16.29955947,21.7,9.4,9.9,2.1
Croydon - Upper Norwood,20.99241388,11,51.3,33.9,9
Camden - Regent's Park,15.91513897,9.6,44.3,45.2,15.6
Hillingdon - Uxbridge North,17.88678619,15.9,30.2,23.4,5.9
Barnet - Finchley Church End,18.75278396,16.5,33.1,40.9,14.5
Lambeth - Knight's Hill,23.24730746,9,47.7,35.3,11.6
